Interaction;Value;Percentage_Contribution
bearish_abs_diff_abv <-> poc_diff_ratio_6P_16P;14.3530;0.1100
diffPriceClose_VA21PPoc <-> bearish_dsc_dynamics;14.3524;0.1100
diffPriceCloseVWAP <-> perct_VA21P;14.3257;0.1098
cumDiffVolDeltaRatio <-> diffPriceClose_VA16PPoc;14.1276;0.1083
bearish_imnbScore_score <-> overlap_ratio_VA_11P_21P;14.1183;0.1082
poc_diff_ratio_6P_16P <-> diffVolDelta_0_1Ratio;14.0967;0.1080
ratio_delta_vol_VA21P <-> bull_imbalance_high_2;14.0438;0.1076
bearish_market_context_score <-> bullish_ask_bid_ratio;14.0098;0.1074
diffPriceCloseVWAP <-> bear_imbalance_high_2;14.0047;0.1073
atr <-> bearish_extrem_pressure_ratio_extrem;13.9825;0.1071
bandWidthBB <-> diffPriceClose_VA6PPoc;13.9263;0.1067
bearish_market_context_score <-> overlap_ratio_VA_6P_16P;13.8531;0.1062
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_1;13.8525;0.1062
ratio_delta_vol_VA21P <-> bearish_asc_ask_bid_delta_imbalance;13.7392;0.1053
bearish_ask_score <-> diffPriceCloseVWAP;13.7293;0.1052
bearish_ask_bid_ratio <-> bearish_repeat_ticks_ratio_extrem;13.6801;0.1048
