Interaction;Value;Percentage_Contribution
overlap_ratio_VA_6P_21P <-> bear_imbalance_high_2;6.7682;0.0814
diffPriceClose_VA11PvaH <-> finished_auction_high;6.7551;0.0813
deltaTimestampOpeningSection30min <-> bearish_absorption_intensity_repeat_count;6.7486;0.0812
ratio_delta_vol_VA16P <-> VolAbv_vol_ratio;6.7465;0.0812
overlap_ratio_VA_6P_11P <-> naked_poc_dist_above;6.6835;0.0804
bearish_absorption_score <-> bearish_market_context_score;6.6670;0.0802
absorption_intensity_repeat_bearish_vol <-> overlap_ratio_VA_6P_11P;6.6031;0.0795
bull_imbalance_low_3 <-> deltaTimestampOpeningSection30min;6.5982;0.0794
bearish_repeatAskBid_ratio <-> deltaTimestampOpeningSection1min;6.4366;0.0774
bear_imbalance_high_1 <-> overlap_ratio_VA_6P_21P;6.3559;0.0765
bearish_combined_pressure <-> diffPriceClose_VA16PvaL;6.3547;0.0765
bull_imbalance_high_0 <-> cumDiffVolDeltaRatio;6.3547;0.0765
price_volume_dynamic <-> diffHighPrice_0_2;6.2758;0.0755
bearish_market_context_score <-> perctBB;5.9891;0.0721
ratio_delta_vol_VA11P <-> bearish_ask_abs_ratio_abv;5.9679;0.0718
bearish_asc_ask_bid_delta_imbalance <-> diffPriceCloseVWAP;5.9065;0.0711
VolCandleMeanxRatio <-> perct_VA21P;5.8359;0.0702
deltaTimestampOpeningSection5min <-> diffPriceClose_VA21PPoc;5.7922;0.0697
diffVolCandle_0_1Ratio <-> perct_VA11P;5.7815;0.0696
diffPriceClose_VA11PPoc <-> bearish_dsc_ask_bid_delta_imbalance;5.7706;0.0694
ratio_delta_vol_VA16P <-> diffVolCandle_0_1Ratio;5.6982;0.0686
bull_imbalance_high_1 <-> diffVolDelta_0_1Ratio;5.6871;0.0684
diffPriceClose_VA16PvaH <-> bear_imbalance_high_1;5.6250;0.0677
diffPriceClosePoc_0_2 <-> diffPriceClose_VA11PvaH;5.6132;0.0675
bull_imbalance_high_1 <-> bearish_repeatAskBid_ratio;5.5708;0.0670
bullish_asc_dsc_ratio <-> bearish_dsc_ask_bid_imbalance;5.5667;0.0670
price_volume_dynamic <-> bearish_bid_ratio;5.4936;0.0661
market_regimeADX <-> diffPriceClose_VA21PvaH;5.4516;0.0656
diffPriceClose_VA21PvaL <-> perct_VA21P;5.4282;0.0653
diffLowPrice_0_4 <-> ratio_delta_vol_VA11P;5.4279;0.0653
bearish_dsc_ask_bid_delta_imbalance <-> perctBB;5.3747;0.0647
perct_VA6P <-> bullish_dsc_dynamics;5.3594;0.0645
bearish_absorption_intensity_repeat_count <-> deltaTimestampOpeningSection5min;5.2767;0.0635
